epic_id,source_batch,best_period_days,stage_g_final_recommendation,final_recommendation,stage_f_label,stage_h_label,visual_label,final_candidate_status,review_bin,status_reason,visual_notes,reviewer,reviewed_at,recommended_next_action,stage_h_notes,phase_0_folded_path,validation_summary_json_path,stage_f_closed_45_approved_ledger_status,stage_f_closed_45_ledger_priority,stage_f_closed_45_evidence_summary,stage_f_closed_45_caveats,stage_f_closed_45_ledger_change_type,stage_g_v2_support_tier,stage_g_v2_calibrated_score,stage_g_v2_annotation_only,stage_h_status,stage_h_training_label_v3,stage_h_science_binary_v3,stage_h_ledger_status,stage_h_ledger_priority,stage_h_reason,stage_h_reviewed_at,stage_h_reviewer,stage_h_previous_final_candidate_status,stage_h_previous_final_recommendation,stage_h_previous_training_label_v3,stage_h_previous_science_binary_v3
EPIC_211954033,stage_f_next10_batch2_manual_review,11.441882991133753,,candidate_with_caveat,stage_f_planet_like,,visual_promote_candidate_alias_check,candidate_with_caveat,promoted_keep_reviewing,"label=candidate_like; science_binary=science_like; source_status=promote_candidate_alias_check; Stage G tier=review_support (score=0.55928650183); flux_p_science_like=0.668707787991; period=11.441882991134 d; training_label_rule=final_candidate_status:promote_candidate_alias_check; source_batch=stage_f_next10_batch2_manual_review; stage_f_label=stage_f_planet_like; visual_label=visual_promote_candidate_alias_check Caveat: Candidate-like review_support row with alias-check status; review features before ledger promotion, but do not demote solely from Stage G.",Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,approve with caveat / keep existing; review feature cautions,,plots\k2_batch\stage_f_next10_batch2\EPIC_211954033\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211954033\validation_summary.json,candidate_with_caveat,medium_feature_caution,label=candidate_like; science_binary=science_like; source_status=promote_candidate_alias_check; Stage G tier=review_support (score=0.55928650183); flux_p_science_like=0.668707787991; period=11.441882991134 d; training_label_rule=final_candidate_status:promote_candidate_alias_check; source_batch=stage_f_next10_batch2_manual_review; stage_f_label=stage_f_planet_like; visual_label=visual_promote_candidate_alias_check,"Candidate-like review_support row with alias-check status; review features before ledger promotion, but do not demote solely from Stage G.",update,review_support,0.55928650183,TRUE,,,,,,,,,,,,
EPIC_211955365,stage_f_next10_batch2_manual_review,13.515559290237206,,deprioritize_after_manual_visual_review,stage_f_reject,,visual_deprioritize_after_manual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,Human visual review found folds unconvincing relative to top five.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,deprioritize after manual visual review,,plots\k2_batch\stage_f_next10_batch2\EPIC_211955365\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211955365\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211988531,stage_f_next10_batch2_manual_review,14.496263978912111,,secondary_hold,stage_f_planet_like,,visual_secondary_hold,secondary_hold,secondary_hold,Human visual review found folds unconvincing relative to top five.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,retain in secondary hold queue,,plots\k2_batch\stage_f_next10_batch2\EPIC_211988531\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_211988531\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_212001099,stage_f_next10_batch2_manual_review,16.325087564604473,,candidate_ready_for_ledger,stage_f_planet_like,,visual_promote_primary_candidate,candidate_ready_for_ledger,promoted_keep_reviewing,label=planet_like; science_binary=science_like; source_status=promote_primary_candidate; Stage G tier=strong_support (score=0.779926018452); flux_p_science_like=0.81286418438; period=16.325087564604 d; training_label_rule=final_candidate_status:promote_primary_candidate; source_batch=stage_f_next10_batch2_manual_review; stage_f_label=stage_f_planet_like; visual_label=visual_promote_primary_candidate Caveat: Planet-like strong_support row; Stage G tier is annotation only and final ledger change still requires manual approval.,Human visual review found folds unconvincing relative to top five.,OC,2026-04-30,likely approve into ledger review,,plots\k2_batch\stage_f_next10_batch2\EPIC_212001099\phase_0_folded.png,plots\k2_batch\stage_f_next10_batch2\EPIC_212001099\validation_summary.json,candidate_ready_for_ledger,high,label=planet_like; science_binary=science_like; source_status=promote_primary_candidate; Stage G tier=strong_support (score=0.779926018452); flux_p_science_like=0.81286418438; period=16.325087564604 d; training_label_rule=final_candidate_status:promote_primary_candidate; source_batch=stage_f_next10_batch2_manual_review; stage_f_label=stage_f_planet_like; visual_label=visual_promote_primary_candidate,Planet-like strong_support row; Stage G tier is annotation only and final ledger change still requires manual approval.,update,strong_support,0.779926018452,TRUE,,,,,,,,,,,,
EPIC_211732801,stage_f_hybrid_v2_reviewed,8.499644226245664,,reject_likely_eclipsing_binary,stage_f_likely_eb,,visual_reject_likely_eclipsing_binary,reject_likely_eclipsing_binary,likely_eclipsing_binary_reject,"Stage F reviewed outcome: likely eclipsing binary. Stage F reason: secondary eclipse at phase 0.5: depth_ratio=1.340, snr=6.59","Stage F reviewed outcome: likely eclipsing binary. Stage F reason: secondary eclipse at phase 0.5: depth_ratio=1.340, snr=6.59",,2026-05-04,exclude from novel planet queue; likely eclipsing binary,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211732801\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211732801\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211425098,stage_f_hybrid_v2_reviewed,12.238654773791268,,reject_manual_false_positive,stage_f_hold,,visual_reject_after_stage_f_review,reject_manual_false_positive,manual_false_positive_stage_f_review,Stage F reviewed outcome: manual false positive. Stage F reason: ambiguous follow-up checks: odd_even_ratio=0.628 alias_risk=moderate oot_to_depth=1.097,Stage F reviewed outcome: manual false positive. Stage F reason: ambiguous follow-up checks: odd_even_ratio=0.628 alias_risk=moderate oot_to_depth=1.097,,2026-05-04,exclude from novel planet queue after Stage F reviewed outcome,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211425098\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211425098\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211530033,stage_f_hybrid_v2_reviewed,15.50762230141845,,reject_manual_false_positive,stage_f_hold,,visual_reject_after_stage_f_review,reject_manual_false_positive,manual_false_positive_stage_f_review,"Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue","Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue",,2026-05-04,exclude from novel planet queue after Stage F reviewed outcome,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211530033\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211530033\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211396246,stage_f_hybrid_v2_reviewed,5.0670921209678,,reject_manual_false_positive,stage_f_hold,,visual_reject_after_stage_f_review,reject_manual_false_positive,manual_false_positive_stage_f_review,"Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue","Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue",,2026-05-04,exclude from novel planet queue after Stage F reviewed outcome,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211396246\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211396246\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211833851,stage_f_hybrid_v2_reviewed,18.61323452599368,,reject_manual_false_positive,stage_f_hold,,visual_reject_after_stage_f_review,reject_manual_false_positive,manual_false_positive_stage_f_review,"Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue","Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue",,2026-05-04,exclude from novel planet queue after Stage F reviewed outcome,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211833851\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211833851\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211972767,stage_f_hybrid_v2_reviewed,17.10134562114399,,reject_likely_variable_or_binary,stage_f_hold,,visual_reject_likely_variable_or_binary,reject_likely_variable_or_binary,likely_variable_or_binary_reject,Stage F reviewed outcome: likely variable or binary. Stage F reason: ambiguous follow-up checks: odd_even_ratio=0.511 alias_risk=low oot_to_depth=1.668,Stage F reviewed outcome: likely variable or binary. Stage F reason: ambiguous follow-up checks: odd_even_ratio=0.511 alias_risk=low oot_to_depth=1.668,,2026-05-04,exclude from novel planet queue; likely variable or binary,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211972767\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211972767\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211910082,stage_f_hybrid_v2_reviewed,19.798300977400004,,reject_manual_false_positive,stage_f_hold,,visual_reject_after_stage_f_review,reject_manual_false_positive,manual_false_positive_stage_f_review,"Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue","Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue",,2026-05-04,exclude from novel planet queue after Stage F reviewed outcome,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211910082\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211910082\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211569204,stage_f_hybrid_v2_reviewed,14.659857875562466,,reject_manual_false_positive,stage_f_hold,,visual_reject_after_stage_f_review,reject_manual_false_positive,manual_false_positive_stage_f_review,"Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue","Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue",,2026-05-04,exclude from novel planet queue after Stage F reviewed outcome,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211569204\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211569204\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211947686,stage_f_hybrid_v2_reviewed,11.881061730008014,,reject_manual_false_positive,stage_f_hold,,visual_reject_after_stage_f_review,reject_manual_false_positive,manual_false_positive_stage_f_review,"Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue","Stage F reviewed outcome: manual false positive. Stage F reason: no EB rejection, but visual/metric confidence remains secondary queue",,2026-05-04,exclude from novel planet queue after Stage F reviewed outcome,,plots\k2_batch\stage_f_hybrid_v2\EPIC_211947686\phase_0_folded.png,plots\k2_batch\stage_f_hybrid_v2\EPIC_211947686\validation_summary.json,,,,,,,,,,,,,,,,,,,,
EPIC_211908778,stage_f_v3_recovery_batch1_manual_review,14.945896123012062,,candidate_demoted_after_stage_h,stage_f_hold,likely_eb_or_variable_hold,visual_promote_candidate_odd_even_oot_caution,candidate_demoted_after_stage_h,promoted_keep_reviewing,EB/variable-like; poor odd/even agreement; very high OOT variability; messy alias family; Stage F hold; not safe as candidate_like,Manual review promoted from V3 recovery batch despite Stage F hold; keep reviewing due to odd/even/OOT caution.,OC,2026-05-07,candidate_demoted_after_stage_h,EB/variable-like; poor odd/even agreement; very high OOT variability; messy alias family; Stage F hold; not safe as candidate_like,plots\k2_batch\stage_f_v3_recovery_batch1\EPIC_211908778\phase_0_folded.png,plots\k2_batch\stage_f_v3_recovery_batch1\EPIC_211908778\validation_summary.json,candidate_needs_manual_followup,manual_followup_required,label=candidate_like; science_binary=science_like; source_status=promote_candidate_alias_check; Stage G tier=weak_support (score=0.4320067276); flux_p_science_like=0.656142354012; period=14.945896123012 d; training_label_rule=final_candidate_status:promote_candidate_alias_check; source_batch=stage_f_v3_recovery_batch1_manual_review; stage_f_label=stage_f_hold; visual_label=visual_promote_candidate_odd_even_oot_caution,"Candidate-like weak_support row with odd/even/OOT caution; weak_support is not a demotion, manual evidence is required.",update,weak_support,0.4320067276,TRUE,likely_eb_or_variable_hold,uncertain_hold,unresolved,candidate_demoted_after_stage_h,do_not_promote_without_external_evidence,EB/variable-like; poor odd/even agreement; very high OOT variability; messy alias family; Stage F hold; not safe as candidate_like,2026-05-07,OC,candidate_needs_manual_followup,candidate_needs_manual_followup,candidate_like,science_like
EPIC_211404127,batch2,18.613248512338,,candidate_needs_manual_followup,stage_f_planet_like,candidate_needs_manual_followup,promote_to_deeper_eval,candidate_needs_manual_followup,stage_f_closed_45_candidate_ledger_review,"real deep high-SNR signal, but SNR/depth are too high for clean planet-like confidence; high OOT variability; P/2 alias support stronger than nominal P; possible EB/variable-risk",,OC,2026-05-07,candidate_needs_manual_followup,"real deep high-SNR signal, but SNR/depth are too high for clean planet-like confidence; high OOT variability; P/2 alias support stronger than nominal P; possible EB/variable-risk",,,candidate_needs_manual_followup,manual_followup_required,label=candidate_like; science_binary=science_like; source_status=promote_to_deeper_eval; Stage G tier=weak_support (score=0.401965238504); flux_p_science_like=0.626497745514; period=18.613248512338 d; training_label_rule=manual_stage_f_label:promote_to_deeper_eval; source_batch=batch2; stage_f_label=stage_f_planet_like; visual_label=promote_to_deeper_eval,Candidate-like weak_support row; preserve manual Stage F promote_to_deeper_eval evidence and require manual ledger decision.,add,weak_support,0.401965238504,TRUE,candidate_needs_manual_followup,uncertain_hold,unresolved,candidate_needs_manual_followup,followup_eb_variable_risk,"real deep high-SNR signal, but SNR/depth are too high for clean planet-like confidence; high OOT variability; P/2 alias support stronger than nominal P; possible EB/variable-risk",2026-05-07,OC,candidate_needs_manual_followup,candidate_needs_manual_followup,candidate_like,science_like
EPIC_211759361,batch2,14.608622348493,,candidate_with_caveat,stage_f_planet_like,candidate_with_caveat,promote_to_deeper_eval,candidate_with_caveat,stage_f_closed_45_candidate_ledger_review,"reasonable-depth primary; good odd/even agreement; no phase-0.5 secondary; flux score above vetting threshold; decent event support; caveat moderate SNR, high-ish OOT variability, and 2P/3 alias support",,OC,2026-05-07,candidate_with_caveat,"reasonable-depth primary; good odd/even agreement; no phase-0.5 secondary; flux score above vetting threshold; decent event support; caveat moderate SNR, high-ish OOT variability, and 2P/3 alias support",,,candidate_needs_manual_followup,manual_followup_required,label=candidate_like; science_binary=science_like; source_status=promote_to_deeper_eval; Stage G tier=weak_support (score=0.370758292198); flux_p_science_like=0.710497200489; period=14.608622348493 d; training_label_rule=manual_stage_f_label:promote_to_deeper_eval; source_batch=batch2; stage_f_label=stage_f_planet_like; visual_label=promote_to_deeper_eval,Candidate-like weak_support row with strong flux support; weak_support is not a demotion and manual ledger evidence is required.,add,weak_support,0.370758292198,TRUE,candidate_with_caveat,candidate_like,science_like,candidate_with_caveat,medium_high,"reasonable-depth primary; good odd/even agreement; no phase-0.5 secondary; flux score above vetting threshold; decent event support; caveat moderate SNR, high-ish OOT variability, and 2P/3 alias support",2026-05-07,OC,candidate_needs_manual_followup,candidate_needs_manual_followup,candidate_like,science_like
