epic_id,training_label_v3,science_binary_v3,binary_eval_included_stage_h,missing_score,flux_p_science_like,stage_g_calibrated_score,stage_g_support_tier,best_period_days,final_candidate_status,stage_d_label,stage_d_quality_score,stage_d_reason
EPIC_211954033,candidate_like,science_like,TRUE,FALSE,0.668707787991,0.55928650183,review_support,11.441882991133753,promote_candidate_alias_check,pass_deeper_eval,0.760640536968,period_support_count=12; depth_consistency=0.838; duration_consistency=0.978; validated cache-light-curve support
EPIC_211910082,noise_or_artifact,not_science_like,TRUE,FALSE,0.636104226112,0.536549263428,review_support,19.798300977400004,reject_manual_false_positive,pass_deeper_eval,0.708676821735,period_support_count=8; depth_consistency=0.883; duration_consistency=0.979; validated cache-light-curve support
EPIC_211551640,noise_or_artifact,not_science_like,TRUE,FALSE,0.63699734211,0.532435151021,review_support,10.563287809098483,reject_manual_false_positive,pass_deeper_eval,0.798188027584,period_support_count=21; depth_consistency=0.936; duration_consistency=1.000; validated cache-light-curve support
EPIC_212003686,noise_or_artifact,not_science_like,TRUE,FALSE,0.651907682419,0.525970995083,review_support,12.44296006046352,reject_manual_false_positive,pass_deeper_eval,0.780435021636,period_support_count=18; depth_consistency=0.686; duration_consistency=0.896; validated cache-light-curve support
EPIC_211520800,low_priority_negative,not_science_like,TRUE,FALSE,0.653724551201,0.52077210378,review_support,15.569002305841424,deprioritize_after_manual_visual_review,pass_deeper_eval,0.624570077571,period_support_count=12; depth_consistency=0.770; duration_consistency=0.875; validated cache-light-curve support
EPIC_211889692,planet_like,science_like,TRUE,FALSE,0.647940158844,0.516237480665,review_support,17.673423499920546,recovered_known_confirmed_planet,pass_deeper_eval,0.910377281581,period_support_count=21; depth_consistency=0.891; duration_consistency=0.792; validated cache-light-curve support
EPIC_211955365,low_priority_negative,not_science_like,TRUE,FALSE,0.620951473713,0.477618219036,review_support,13.515559290237206,deprioritize_after_manual_visual_review,pass_deeper_eval,0.65238643103,period_support_count=14; depth_consistency=0.719; duration_consistency=0.750; validated cache-light-curve support
EPIC_211947686,noise_or_artifact,not_science_like,TRUE,FALSE,0.69991004467,0.472832303949,review_support,11.881061730008014,reject_manual_false_positive,pass_deeper_eval,0.623753304515,period_support_count=8; depth_consistency=0.895; duration_consistency=0.870; validated cache-light-curve support
EPIC_211739276,noise_or_artifact,not_science_like,TRUE,FALSE,0.677273511887,0.46018476914,review_support,19.164904292916617,reject_manual_false_positive,pass_deeper_eval,0.570968916169,period_support_count=15; depth_consistency=0.801; duration_consistency=0.667; validated cache-light-curve support
EPIC_211972767,variable_or_artifact,not_science_like,TRUE,FALSE,0.673350334167,0.4538473394,review_support,17.10134562114399,reject_likely_variable_or_binary,hold_deeper_eval,0.695308445149,"finite period with support=23, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211554121,noise_or_artifact,not_science_like,TRUE,FALSE,0.675060272217,0.444936157725,weak_support,14.057024791287404,reject_manual_false_positive,pass_deeper_eval,0.597343576267,period_support_count=15; depth_consistency=0.860; duration_consistency=0.667; validated cache-light-curve support
EPIC_211563576,noise_or_artifact,not_science_like,TRUE,FALSE,0.645002007484,0.438757294482,weak_support,17.142289455598302,reject_manual_false_positive,pass_deeper_eval,0.67226539659,period_support_count=15; depth_consistency=0.691; duration_consistency=1.000; validated cache-light-curve support
EPIC_211555255,noise_or_artifact,not_science_like,TRUE,FALSE,0.400084942579,0.437393349915,weak_support,9.929781530910986,reject_manual_false_positive,pass_deeper_eval,0.72705129026,period_support_count=20; depth_consistency=0.871; duration_consistency=0.556; validated cache-light-curve support
EPIC_211926132,uncertain_hold,not_science_like,TRUE,FALSE,0.676177740097,0.434070024635,weak_support,16.723298121680273,secondary_hold,pass_deeper_eval,0.781900947561,period_support_count=14; depth_consistency=0.905; duration_consistency=0.769; validated cache-light-curve support
EPIC_211908778,uncertain_hold,unresolved,FALSE,FALSE,0.656142354012,0.4320067276,weak_support,14.945896123012062,likely_eb_or_variable_hold,hold_deeper_eval,0.6186052527,"finite period with support=22, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211833851,noise_or_artifact,not_science_like,TRUE,FALSE,0.701998353004,0.421272179037,weak_support,18.61323452599368,reject_manual_false_positive,pass_deeper_eval,0.61642724227,period_support_count=9; depth_consistency=0.843; duration_consistency=0.750; validated cache-light-curve support
EPIC_211404127,uncertain_hold,unresolved,FALSE,FALSE,0.626497745514,0.401965238504,weak_support,18.613248512338032,candidate_needs_manual_followup,hold_deeper_eval,0.605960132484,"finite period with support=18, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211813858,low_priority_negative,not_science_like,TRUE,FALSE,0.56866979599,0.395247750458,weak_support,14.53720362356762,deprioritize_after_manual_visual_review,pass_deeper_eval,0.710888610205,period_support_count=13; depth_consistency=0.827; duration_consistency=0.857; validated cache-light-curve support
EPIC_211732801,binary_system,not_science_like,TRUE,FALSE,0.970463216305,0.381582578915,weak_support,8.499644226245664,reject_likely_eclipsing_binary,pass_deeper_eval,0.69036585308,period_support_count=15; depth_consistency=0.682; duration_consistency=0.667; validated cache-light-curve support
EPIC_211598703,noise_or_artifact,not_science_like,TRUE,FALSE,0.703751325607,0.371916754404,weak_support,16.16143666474818,reject_as_noise_or_artifact,hold_deeper_eval,0.468014736309,"finite period with support=10, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211759361,candidate_like,science_like,TRUE,FALSE,0.710497200489,0.370758292198,weak_support,14.608622348492643,candidate_with_caveat,hold_deeper_eval,0.474281079877,"finite period with support=9, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211887206,low_priority_negative,not_science_like,TRUE,FALSE,0.691662311554,0.369107535703,weak_support,16.447552240118966,deprioritize_after_manual_visual_review,pass_deeper_eval,0.653536883478,period_support_count=12; depth_consistency=0.750; duration_consistency=0.591; validated cache-light-curve support
EPIC_211746706,noise_or_artifact,not_science_like,TRUE,FALSE,0.649377048016,0.365303758197,weak_support,17.959520721076842,reject_as_noise_or_artifact,hold_deeper_eval,0.504499533608,"finite period with support=14, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211562803,uncertain_hold,unresolved,FALSE,FALSE,0.551209151745,0.3623755123,weak_support,12.40209570488514,hold_deeper_eval,pass_deeper_eval,0.58954293628,period_support_count=11; depth_consistency=0.746; duration_consistency=0.800; validated cache-light-curve support
EPIC_211423229,noise_or_artifact,not_science_like,TRUE,FALSE,0.671370983124,0.360032433021,weak_support,12.54515116427524,reject_as_noise_or_artifact,hold_deeper_eval,0.444867687336,"finite period with support=7, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211791780,uncertain_hold,unresolved,FALSE,FALSE,0.511658668518,0.359699463073,weak_support,18.00028949379339,hold_deeper_eval,pass_deeper_eval,0.562358093844,period_support_count=10; depth_consistency=0.675; duration_consistency=0.667; validated cache-light-curve support
EPIC_211631955,uncertain_hold,unresolved,FALSE,FALSE,0.632686316967,0.356518866354,weak_support,17.15240334661553,hold_deeper_eval,hold_deeper_eval,0.465991801424,"finite period with support=15, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211821200,uncertain_hold,unresolved,FALSE,FALSE,0.594611763954,0.35557360541,weak_support,16.794808524282416,hold_deeper_eval,hold_deeper_eval,0.528257375789,"finite period with support=11, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211537297,uncertain_hold,unresolved,FALSE,FALSE,0.692753493786,0.344992231924,weak_support,18.75653827464748,hold_deeper_eval,hold_deeper_eval,0.426864499629,"finite period with support=11, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211306307,noise_or_artifact,not_science_like,TRUE,FALSE,0.622728407383,0.334828408247,weak_support,14.91521162303252,reject_as_noise_or_artifact,hold_deeper_eval,0.463194746032,"finite period with support=16, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211409604,uncertain_hold,unresolved,FALSE,FALSE,0.568249821663,0.306510327278,weak_support,16.284045151696773,hold_deeper_eval,hold_deeper_eval,0.438802193388,"finite period with support=12, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211770415,uncertain_hold,unresolved,FALSE,FALSE,0.636568844318,0.303706442149,weak_support,16.958293843759748,hold_deeper_eval,hold_deeper_eval,0.407853082849,"finite period with support=10, but deeper-eval guardrails are incomplete or marginal; reason=validated"
EPIC_211425098,noise_or_artifact,not_science_like,TRUE,FALSE,0.694255650043,0.234973846344,weak_support,12.238654773791268,reject_manual_false_positive,pass_deeper_eval,0.784280534986,period_support_count=12; depth_consistency=0.694; duration_consistency=0.550; validated cache-light-curve support
EPIC_211878672,low_priority_negative,not_science_like,TRUE,FALSE,0.70718228817,0.211325279547,weak_support,10.716529819124844,deprioritize_after_manual_visual_review,pass_deeper_eval,0.588787524063,period_support_count=12; depth_consistency=0.702; duration_consistency=1.000; validated cache-light-curve support
