epic_id,training_label_v3,science_binary_v3,training_label_rule,final_candidate_status,review_bin,source_batch,best_period_days,stage_f_label,stage_h_label,visual_label,reviewer,reviewed_at
EPIC_211520800,low_priority_negative,not_science_like,final_candidate_status:deprioritize_after_manual_visual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,15.569002305841424,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211748059,uncertain_hold,not_science_like,final_candidate_status:secondary_hold,secondary_hold,secondary_hold,stage_f_next10_batch2_manual_review,17.42822978276672,stage_f_planet_like,,visual_secondary_hold,OC,2026-04-30
EPIC_211813858,low_priority_negative,not_science_like,final_candidate_status:deprioritize_after_manual_visual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,14.53720362356762,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211878672,low_priority_negative,not_science_like,final_candidate_status:deprioritize_after_manual_visual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,10.716529819124844,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211887206,low_priority_negative,not_science_like,final_candidate_status:deprioritize_after_manual_visual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,16.447552240118966,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211926132,uncertain_hold,not_science_like,final_candidate_status:secondary_hold,secondary_hold,secondary_hold,stage_f_next10_batch2_manual_review,16.723298121680273,stage_f_reject,,visual_secondary_hold,OC,2026-04-30
EPIC_211954033,candidate_like,science_like,final_candidate_status:promote_candidate_alias_check,promote_candidate_alias_check,promoted_keep_reviewing,stage_f_next10_batch2_manual_review,11.441882991133753,stage_f_planet_like,,visual_promote_candidate_alias_check,OC,2026-04-30
EPIC_211955365,low_priority_negative,not_science_like,final_candidate_status:deprioritize_after_manual_visual_review,deprioritize_after_manual_visual_review,deprioritized_after_manual_visual_review,stage_f_next10_batch2_manual_review,13.515559290237206,stage_f_reject,,visual_deprioritize_after_manual_review,OC,2026-04-30
EPIC_211988531,uncertain_hold,not_science_like,final_candidate_status:secondary_hold,secondary_hold,secondary_hold,stage_f_next10_batch2_manual_review,14.496263978912111,stage_f_planet_like,,visual_secondary_hold,OC,2026-04-30
EPIC_212001099,planet_like,science_like,final_candidate_status:promote_primary_candidate,promote_primary_candidate,promoted_keep_reviewing,stage_f_next10_batch2_manual_review,16.325087564604473,stage_f_planet_like,,visual_promote_primary_candidate,OC,2026-04-30
EPIC_211732801,binary_system,not_science_like,final_candidate_status:reject_likely_eclipsing_binary,reject_likely_eclipsing_binary,likely_eclipsing_binary_reject,stage_f_hybrid_v2_reviewed,8.499644226245664,stage_f_likely_eb,,visual_reject_likely_eclipsing_binary,,2026-05-04
EPIC_211425098,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,12.238654773791268,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04
EPIC_211530033,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,15.50762230141845,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04
EPIC_211396246,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,5.0670921209678,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04
EPIC_211833851,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,18.61323452599368,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04
EPIC_211972767,variable_or_artifact,not_science_like,final_candidate_status:reject_likely_variable_or_binary,reject_likely_variable_or_binary,likely_variable_or_binary_reject,stage_f_hybrid_v2_reviewed,17.10134562114399,stage_f_hold,,visual_reject_likely_variable_or_binary,,2026-05-04
EPIC_211910082,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,19.798300977400004,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04
EPIC_211569204,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,14.659857875562466,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04
EPIC_211947686,noise_or_artifact,not_science_like,final_candidate_status:reject_manual_false_positive,reject_manual_false_positive,manual_false_positive_stage_f_review,stage_f_hybrid_v2_reviewed,11.881061730008014,stage_f_hold,,visual_reject_after_stage_f_review,,2026-05-04
EPIC_211908778,candidate_like,science_like,final_candidate_status:promote_candidate_alias_check,promote_candidate_alias_check,promoted_keep_reviewing,stage_f_v3_recovery_batch1_manual_review,14.945896123012062,stage_f_hold,,visual_promote_candidate_odd_even_oot_caution,OC,2026-05-04
EPIC_211404127,candidate_like,science_like,manual_stage_f_label:promote_to_deeper_eval,promote_to_deeper_eval,manual_stage_f_v3_review,batch2,18.613248512338032,stage_f_planet_like,,promote_to_deeper_eval,OC,2026-05-04
EPIC_211537297,uncertain_hold,unresolved,manual_stage_f_label:hold_deeper_eval,hold_deeper_eval,manual_stage_f_v3_review,batch2,18.75653827464748,stage_f_planet_like,,hold_deeper_eval,OC,2026-05-04
EPIC_211598703,noise_or_artifact,not_science_like,manual_stage_f_label:reject_as_noise_or_artifact,reject_as_noise_or_artifact,manual_stage_f_v3_review,batch2,16.16143666474818,stage_f_hold,,reject_as_noise_or_artifact,OC,2026-05-04
EPIC_211746706,noise_or_artifact,not_science_like,manual_stage_f_label:reject_as_noise_or_artifact,reject_as_noise_or_artifact,manual_stage_f_v3_review,batch2,17.959520721076842,stage_f_hold,,reject_as_noise_or_artifact,OC,2026-05-04
EPIC_211759361,candidate_like,science_like,manual_stage_f_label:promote_to_deeper_eval,promote_to_deeper_eval,manual_stage_f_v3_review,batch2,14.608622348492643,stage_f_planet_like,,promote_to_deeper_eval,OC,2026-05-04
EPIC_211423229,noise_or_artifact,not_science_like,manual_stage_f_label:reject_as_noise_or_artifact,reject_as_noise_or_artifact,manual_stage_f_v3_review,batch3,12.54515116427524,stage_f_hold,,reject_as_noise_or_artifact,OC,2026-05-04
EPIC_211562803,uncertain_hold,unresolved,manual_stage_f_label:hold_deeper_eval,hold_deeper_eval,manual_stage_f_v3_review,batch3,12.40209570488514,stage_f_planet_like,,hold_deeper_eval,OC,2026-05-04
EPIC_211631955,uncertain_hold,unresolved,manual_stage_f_label:hold_deeper_eval,hold_deeper_eval,manual_stage_f_v3_review,batch3,17.15240334661553,stage_f_reject,,hold_deeper_eval,OC,2026-05-04
EPIC_211791780,uncertain_hold,unresolved,manual_stage_f_label:hold_deeper_eval,hold_deeper_eval,manual_stage_f_v3_review,batch3,18.00028949379339,stage_f_planet_like,,hold_deeper_eval,OC,2026-05-04
EPIC_211821200,uncertain_hold,unresolved,manual_stage_f_label:hold_deeper_eval,hold_deeper_eval,manual_stage_f_v3_review,batch3,16.794808524282416,stage_f_hold,,hold_deeper_eval,OC,2026-05-04
EPIC_211306307,noise_or_artifact,not_science_like,manual_stage_f_label:reject_as_noise_or_artifact,reject_as_noise_or_artifact,manual_stage_f_v3_review,batch4,14.91521162303252,stage_f_hold,,reject_as_noise_or_artifact,OC,2026-05-05
EPIC_211409604,uncertain_hold,unresolved,manual_stage_f_label:hold_deeper_eval,hold_deeper_eval,manual_stage_f_v3_review,batch4,16.284045151696773,stage_f_hold,,hold_deeper_eval,OC,2026-05-05
EPIC_211770415,uncertain_hold,unresolved,manual_stage_f_label:hold_deeper_eval,hold_deeper_eval,manual_stage_f_v3_review,batch4,16.958293843759748,stage_f_planet_like,,hold_deeper_eval,OC,2026-05-05
